,timestamp,close_C25,close_C26,close_H0,close_H25,close_H26,high_C25,high_C26,high_H0,high_H25,high_H26,low_C25,low_C26,low_H0,low_H25,low_H26,mean_C25,mean_C26,mean_H0,mean_H25,mean_H26,open_C25,open_C26,open_H0,open_H25,open_H26,open_interest_C25,open_interest_C26,open_interest_H0,open_interest_H25,open_interest_H26,volume_C25,volume_C26,volume_H0,volume_H25,volume_H26,wd,hour,off_hours,market_close,market_open,weekend_close_period,exp_rate_open_interest,exp_rate,relevant_date
4927,2026-02-21 15:00:00-05:00,0.05,0.02,0.94,0.01,0.0,0.05,0.02,0.95,0.01,0.0,0.05,0.01,0.94,0.01,0.0,0.05,0.0187,0.9469,0.01,0.0,0.05,0.02,0.95,0.01,0.0,2664179.0,1284770.0,2880797.0,705571.0,0.0,680.0,379.0,147.0,1000.0,0.0,5,15,True,False,False,True,-0.07833746390515903,0.043787629994526546,2026-02-23
4928,2026-02-21 16:00:00-05:00,0.04,0.02,0.95,0.0,0.0,0.05,0.02,0.95,0.0,0.0,0.04,0.02,0.94,0.0,0.0,0.0474,0.02,0.9431,0.0,0.0,0.05,0.02,0.95,0.0,0.0,2664251.0,1284770.0,2880741.0,0.0,0.0,150.0,3274.0,148.0,0.0,0.0,5,16,True,False,False,True,-0.12011969539360923,-0.12583892617449666,2026-02-23
4929,2026-02-21 17:00:00-05:00,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.95,0.0,0.0,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.9401,0.0,0.0,0.05,0.02,0.95,0.0,0.0,2667286.0,1284770.0,2880742.0,0.0,0.0,3035.0,746.0,106.0,0.0,0.0,5,17,True,False,False,True,-0.12019072362288005,-0.2415631964342566,2026-02-23
4930,2026-02-21 18:00:00-05:00,0.05,0.0,0.95,0.01,0.0,0.05,0.0,0.95,0.01,0.0,0.04,0.0,0.95,0.01,0.0,0.0425,0.0,0.95,0.01,0.0,0.05,0.0,0.95,0.01,0.0,2666704.0,0.0,2880910.0,705571.0,0.0,1142.0,0.0,178.0,1.0,0.0,5,18,True,False,False,True,-0.0784053646261865,-0.2159348978046934,2026-02-23
4931,2026-02-21 19:00:00-05:00,0.04,0.0,0.94,0.01,0.0,0.05,0.0,0.95,0.01,0.0,0.04,0.0,0.94,0.01,0.0,0.0495,0.0,0.9401,0.01,0.0,0.04,0.0,0.94,0.01,0.0,2671094.0,1284770.0,2851301.0,705571.0,0.0,4876.0,0.0,50586.0,1591.0,0.0,5,19,True,False,False,True,-0.07889907395127077,-0.014394510367552977,2026-02-23
4932,2026-02-21 20:00:00-05:00,0.05,0.0,0.94,0.0,0.0,0.05,0.0,0.95,0.0,0.0,0.04,0.0,0.94,0.0,0.0,0.0489,0.0,0.94,0.0,0.0,0.04,0.0,0.95,0.0,0.0,2675090.0,0.0,2851302.0,0.0,0.0,5172.0,0.0,251.0,0.0,0.0,5,20,True,False,False,True,-0.12101430734555203,-0.23842891388530335,2026-02-23
4933,2026-02-21 21:00:00-05:00,0.06,0.02,0.94,0.01,0.0,0.06,0.02,0.94,0.01,0.0,0.04,0.02,0.94,0.01,0.0,0.0513,0.02,0.94,0.01,0.0,0.05,0.02,0.94,0.01,0.0,2690221.0,1284770.0,2851302.0,705571.0,0.0,19797.0,28.0,200.0,3.0,0.0,5,21,True,False,False,True,-0.0794229284848283,-0.247425,2026-02-23
4934,2026-02-21 22:00:00-05:00,0.05,0.02,0.94,0.0,0.0,0.06,0.02,0.95,0.0,0.0,0.04,0.02,0.94,0.0,0.0,0.0594,0.02,0.94,0.0,0.0,0.06,0.02,0.94,0.0,0.0,2690375.0,1284770.0,2853854.0,0.0,0.0,158.0,186.0,2868.0,0.0,0.0,5,22,True,False,False,True,-0.1213142079809474,-0.013053536021150032,2026-02-23
4935,2026-02-21 23:00:00-05:00,0.05,0.02,0.94,0.0,0.0,0.06,0.02,0.95,0.0,0.0,0.04,0.02,0.94,0.0,0.0,0.0544,0.02,0.9401,0.0,0.0,0.06,0.02,0.94,0.0,0.0,2694486.0,1284770.0,2854451.0,0.0,0.0,5521.0,1567.0,1188.0,0.0,0.0,5,23,True,False,False,True,-0.12139649449975734,-0.20573110746758086,2026-02-23
4936,2026-02-22 00:00:00-05:00,0.06,0.02,0.94,0.0,0.0,0.06,0.02,0.95,0.0,0.0,0.05,0.02,0.94,0.0,0.0,0.0571,0.02,0.9468,0.0,0.0,0.05,0.02,0.94,0.0,0.0,2695625.0,1284770.0,2855743.0,0.0,0.0,1139.0,233.0,1549.0,0.0,0.0,6,0,True,False,False,True,-0.12139462741435984,-0.10593377976190477,2026-02-23
